timestamp,temperature,deskTime
2020-12-14 10:55:19.469506,19.80,30
2020-12-14 10:56:02.361373,19.80,30
2020-12-14 10:56:45.267581,19.80,30
2020-12-14 10:57:20.213416,19.80,30
2020-12-14 11:00:03.357024,19.70,30
2020-12-14 11:00:46.454307,19.70,30
2020-12-14 11:01:23.567375,19.70,30
2020-12-14 11:02:00.802549,19.70,30
2020-12-14 11:02:43.826802,19.70,32
2020-12-14 11:03:19.830516,19.70,3
2020-12-14 11:03:55.860218,19.70,17
2020-12-14 13:17:57.794483,20.20,28
2020-12-14 13:18:41.792416,20.30,13
2020-12-14 13:19:24.822562,20.30,23
2020-12-14 13:20:07.910169,20.30,20
2020-12-14 13:20:44.293082,20.40,8
2020-12-14 13:21:20.284337,20.30,15
2020-12-14 13:21:57.408549,20.40,27
2020-12-14 13:23:44.990261,20.20,10
2020-12-14 13:24:20.986340,20.30,26
2020-12-14 13:27:20.126334,20.40,17
2020-12-14 13:28:03.106332,20.40,24
2020-12-14 13:28:48.296449,20.40,17
2020-12-14 13:30:22.001336,20.50,20
2020-12-14 13:31:25.150379,20.50,23
2020-12-14 13:34:02.516358,20.50,49
2020-12-14 13:36:38.092249,20.50,24
2020-12-14 13:37:52.731475,20.70,30
2020-12-14 13:40:11.422299,20.80,28
2020-12-14 13:40:48.419118,20.80,16
2020-12-14 13:41:32.460657,20.80,5
2020-12-14 13:42:08.858946,20.80,30
2020-12-14 13:42:44.904382,20.80,26
2020-12-14 13:43:16.916392,21.00,29
2020-12-14 13:43:52.998182,21.00,28
2020-12-14 13:44:44.866290,21.10,37
2020-12-14 13:45:20.930195,21.00,22
2020-12-14 13:45:56.890455,21.00,30
2020-12-14 13:46:28.846424,21.10,30
2020-12-14 13:47:05.822073,21.10,30
2020-12-14 13:47:41.805374,21.10,30
2020-12-14 13:48:24.742937,21.20,30
2020-12-14 13:49:00.682053,21.30,30
2020-12-14 13:49:43.546374,21.40,30
2020-12-14 13:50:19.638052,21.30,23
2020-12-14 13:51:02.614763,21.20,27
2020-12-14 13:51:37.764187,21.20,24
2020-12-14 13:52:21.822082,21.20,21
2020-12-14 13:52:56.930003,21.10,22
2020-12-14 13:55:31.032010,21.00,31
2020-12-14 13:56:15.116409,21.10,29
2020-12-14 13:56:58.191850,21.00,27
2020-12-14 13:57:30.202143,20.90,28
2020-12-14 13:58:14.198111,20.90,30
2020-12-14 13:58:51.325880,20.90,35
2020-12-14 13:59:28.388012,20.90,28
2020-12-14 14:00:11.447825,20.90,25
2020-12-14 14:00:46.526732,21.20,29
2020-12-14 14:01:30.084615,21.30,29
2020-12-14 14:02:07.167790,21.20,15
